e52,e23,x38,xv38,vinqi
AADDDDSELF,aaddddself,aaddddself,,AADDDDSELF
AALLLL,aallll,aallll,,AALLLL
AALLTTSSEEPP,aallttsseepp,aallttsseepp,,AALTTSSEEPP
AANNDDSELF,aannddself,aannddself,,आनंदस्वयं
AARRGGSS,aarrggss,aarrggss,,AARRGGSS
AARRGGVV,aarrggww,aarrggww,,AARRGGVV
AASSCCIIII,aasscciiii,aasscciiii,,AASSCCCIIII
AASSIINNHHX,aassiinnhhx,aassiinnhhx,,AASSIINNHX
AASSIINNX,aassiinnx,aassiinnx,,AASSIINNX
AATTAANNHHX,aattaannhhx,aattaannhhx,,AATTAANNHX
AATTAANNX,aattaannx,aattaannx,,AATTAANNX
AATTAANNY,aattaanny,aattaanny,,AATTAANNY
AAUUTTHHOORR,aauutthhoorr,aauutthhoorr,,आउथथूरर
AAZAZ,aazaz,aazaz,,अज़ाज़
ABB,abb,abb,,एबीबी
ABBREVIATED,abbrewiated,abbriyuiated,,संक्षिप्त
ABC,abc,abc,,एबीसी
ABCD,abcd,abcd,,ए बी सी डी
ABCDEFABCDEF,abcdefabcdef,abcdefabcdef,,एबीसीडीईएफएबीसीडीईएफ
ABD,abd,abd,,अब्द
ABLE,able,able,,योग्य
ABORT,abort,abort,,गर्भपात
ABORTED,aborted,aborted,,निरस्त किया गया
ABOVE,abowe,abowe,,ऊपर
ABSENT,absent,absent,,अनुपस्थित
ABSM,absm,absm,,एबीएसएम
ABSOLUTE,absolute,absolute,,निरपेक्ष
ABSSELF,absself,absself,,स्वयं
ABSTOL,abstol,abstol,,एब्स्टॉल
ABSTRACT,abstract,abstract,,अमूर्त
ACCEPT,accept,accept,,स्वीकार करना
ACCEPTED,accepted,accepted,,स्वीकृत
ACCEPTING,accepting,accepting,,स्वीकार करना
ACCEPTS,accepts,accepts,,स्वीकार
ACCESS,access,access,,पहुँच
ACCESSED,accessed,accessed,,पहुँचा
ACCESSES,accesses,accesses,,तक पहुँचता है
ACCESSIBLE,accessible,accessible,,पहुंच योग्य
ACCORDING,according,according,,अनुसार
ACCURATE,accurate,accurate,,शुद्ध
ACQUIRE,ackuire,akuire,,अधिग्रहण करना
ACTION,action,action,,कार्रवाई
ACTIONS,actions,actions,,कार्रवाई
ACTIVATE,actiwate,actiwate,,सक्रिय करें
ACTIVATED,actiwated,actiwated,,सक्रिय
ACTIVE,actiwe,actiwe,,सक्रिय
ACTS,acts,acts,,अधिनियमों
ACTUAL,actual,actual,,वास्तविक
ACTUALLY,actually,actually,,वास्तव में
ADAPTER,adapter,adaptxr,,अनुकूलक
ADD,add,add,,जोड़ना
ADDARGUMENT,addargument,addargument,,परिशिष्ट
ADDCLEANUP,addcleanup,addcleanup,,ऐडक्लीनअप
ADDED,added,added,,जोड़ा
ADDHELP,addhelp,addhelp,,सहायक
ADDHELPTRUE,addhelptrue,addhelptrue,,सहायक सत्य
ADDING,adding,adding,,जोड़ना
ADDITION,addition,addition,,जोड़ना
ADDITIONAL,additional,additional,,अतिरिक्त
ADDLEVELNAME,addlxwxlname,addlxwxlname,,अतिरिक्त नाम
ADDS,adds,adds,,कहते हैं
ADVISED,adwised,adwised,,सलाह दी
AENTER,aenter,aentxr,,AENTER
AEXIT,aexit,aexit,,बाहर निकलें
AFFECTS,affects,affects,,प्रभावित
AFTERWARDS,afterwards,aftxrwards,,उसके बाद
AGAINST,against,against,,ख़िलाफ़
AGENCLOSED,agenclosed,agenclosed,,एजेंसो बंद
AGENCREATED,agencreated,agencreated,,AGENCREATED
AGENRUNNING,agenrunning,agenrunning,,एजरनिंग
AGENSUSPEN,agensuspen,agensuspen,,एजेंसुस्पेन
AGGREGATING,aggregating,aggregating,,समेकित करना
AGREE,agree,agree,,सहमत
AILMSUX,ailmsux,ailmsux,,AILMSUX
AIXSUPPORT,aixsupport,aixsupport,,AIXसमर्थन
ALGORITHM,algorithm,algorithm,,एल्गोरिदम
ALIAS,alias,alias,,उपनाम
ALIASED,aliased,aliased,,एलियास
ALIASES,aliases,aliases,,उपनाम
ALLOCATED,allocated,allocated,,आबंटित
ALLOW,allow,allow,,अनुमति दें
ALLOWABBREV,allowabbrew,allowabbriyu,,अनुमतिब्रेव
ALLOWED,allowed,allowed,,अनुमत
ALLOWING,allowing,allowing,,अनुमति
ALLOWNAN,allownan,allownan,,ALOWNAN
ALLOWNANTRUE,allownantrue,allownantrue,,अनुमतिपत्रसच्चाई
ALLOWS,allows,allows,,अनुमति देता है
ALMOST,almost,almost,,लगभग
ALONG,along,along,,साथ में
ALPHA,alpha,alpha,,अल्फा
ALPHABETICAL,alphabetical,alphabetical,,वर्णमाला
ALPHANUMERIC,alphanumeric,alphanumxric,,अक्षरांकीय
ALREADY,already,already,,पहले से
ALSO,also,also,,भी
ALTER,alter,altxr,,ऑल्टर
ALTERNATE,alternate,altxrnate,,वैकल्पिक
ALTERNATIVES,alternatiwes,altxrnatiwes,,वैकल्पिक
ALTHOUGH,although,although,,हालांकि
ALTSEP,altsep,altsep,,अल्टसेप
ALWAYS,always,always,,हमेशा
AMONG,among,among,,के बीच
ANDOR,andor,andor,,आंतरिक प्रबंधन और
ANDSELF,andself,andself,,औरस्वयं
ANGLE,angle,angle,,कोण
ANNOTATE,annotate,annotate,,एन्नोटेट
ANNOTATION,annotation,annotation,,टिप्पणी
ANNOTATIONS,annotations,annotations,,एनोटेशन
ANOTHER,another,anothxr,,एक और
ANYTHING,anything,anything,,कुछ भी
ANYWHERE,anywhere,anywhxre,,कहीं भी
API,api,api,,एपीआई
APIS,apis,apis,,शहद की मक्खी
APPEAR,appear,appear,,के जैसा लगना
APPEARS,appears,appears,,प्रकट होता है
APPEND,append,append,,संलग्न
APPENDCONST,appendconst,appendconst,,परिशिष्ट
APPENDED,appended,appended,,संलग्न
APPENDING,appending,appending,,जोड़कर
APPENDS,appends,appends,,संलग्न कर देता है
APPLICATION,application,application,,आवेदन
APPLICATIONS,applications,applications,,अनुप्रयोग
APPLIED,applied,applied,,लागू किया गया
APPLY,apply,apply,,आवेदन करना
APPROPRIATE,appropriate,appropriate,,उपयुक्त
ARBITRARY,arbitrary,arbitrary,,मनमाना
ARC,arc,arc,,आर्क
AREA,area,area,,क्षेत्र
AREAS,areas,areas,,क्षेत्रों
ARG,arg,arg,,आर्ग
ARGINFO,arginfo,arginfo,,Arginfo
ARGINFOARGS,arginfoargs,arginfoargs,,अर्गिनफोर्ग्स
ARGLINE,argline,argline,,आर्ग्लिन
ARGPARSE,argparse,argparse,,ARGPARSE
ARGS,args,args,,ARGS
ARGSLOG,argslog,argslog,,आर्गस्लॉग
ARGSNONE,argsnone,argsnone,,आर्ग्सनोन
ARGUMENT,argument,argument,,तर्क
ARGUMENTS,arguments,arguments,,बहस
ARGV,argw,argw,,एआरजीवी
ARGVNONE,argwnone,argwnone,,ARGVNONE
ARISING,arising,arising,,उत्पन्न हो रहा है
ARITHMETIC,arithmetic,arithmetic,,अंकगणित
AROUND,around,around,,आस-पास
ARRANGE,arrange,arrange,,व्यवस्थित करना
ARRAY,array,array,,सरणी
ASCII,ascii,ascii,,एएससीआईआई
ASCIILETTERS,asciiletters,asciilettxrs,,जलोदर
ASCOMPLEXDCT,ascomplexdct,ascomplexdct,,ASCOMPLEXDCT
ASCTIMES,asctimes,asctimes,,ASCTIMES
ASIS,asis,asis,,एएसआईएस
ASSERT,assert,assxrt,,ज़ोर
ASSERTEQUAL,assertekual,assxrtekual,,मुखर
ASSERTION,assertion,assxrtion,,बल देकर कहना
ASSERTISNONE,assertisnone,assxrtisnone,,Assertisnone
ASSERTRAISES,assertraises,assxrtraises,,अभिकथन
ASSERTS,asserts,assxrts,,इस बात पर ज़ोर
ASSERTWARNS,assertwarns,assxrtwarns,,मुखरता से चेतावनी देता है
ASSIGN,assign,assign,,सौंपना
ASSIGNED,assigned,assigned,,सौंपा गया
ASSIGNING,assigning,assigning,,बताए
ASSIGNMENT,assignment,assignment,,कार्यभार
ASSIST,assist,assist,,सहायता देना
ASSOCIATE,associate,associate,,संबंद्ध करना
ASSOCIATED,associated,associated,,संबंधित
ASSUMED,assumed,assumed,,ग्रहण
ASSUMES,assumes,assumes,,संभाला
AST,ast,ast,,एएसटी
ASYNC,async,async,,ASYNC
ASYNCCASE,asynccase,asynccase,,ASYNCCASE
ASYNCHRONOUS,asynchronous,asynchronous,,अतुल्यकालिक
ATANYX,atanyx,atanyx,,ATANYX
ATIME,atime,atime,,समय
ATIMENS,atimens,atimens,,ATIMENS
ATTACHED,attached,attached,,जुड़ा हुआ
ATTEMPT,attempt,attempt,,कोशिश करना
ATTEMPTED,attempted,attempted,,का प्रयास किया
ATTR,attr,attr,,एटीटीआर
ATTRIBUTE,attribute,attribute,,गुण
ATTRIBUTES,attributes,attributes,,गुण
ATTRWRAPPED,attrwrapped,attrwrapped,,आकर्षित
AUDIT,audit,audit,,अंकेक्षण
AUGMENTED,augmented,augmented,,संवर्धित
AUTHOR,author,author,,लेखक
AUTHORS,authors,authors,,लेखक
AUTO,auto,auto,,ऑटो
AVAILABLE,awailable,awailable,,उपलब्ध
AVOID,awoid,awoid,,टालना
AVOIDS,awoids,awoids,,बचा जाता है
AWAIT,await,await,,का इंतजार
AWAY,away,away,,दूर
AZAZ,azaz,azaz,,अज़ाज़
BAB,bab,bab,,बाब
BACKEND,backend,bakend,,बैकएंड
BACKSLASH,backslash,bakslash,,बैकस्लैश
BACKWARD,backward,bakward,,पिछड़े
BAG,bag,bag,,थैला
BAR,bar,bar,,छड़
BARBAZ,barbaz,barbaz,,बरबाज़
BASE,base,base,,आधार
BASED,based,based,,आधारित
BASEMATHE,basemathe,basemathe,,बेसमैथे
BASIC,basic,basic,,बुनियादी
BASICALLY,basically,basically,,मूल रूप से
BASICCONFIG,basicconfig,basicconfig,,बेसिककॉन्फिग
BASICFORMAT,basicformat,basicformat,,बुनियादी प्रारूप
BASIS,basis,basis,,आधार
BAVAIL,bawail,bawail,,बवैल
BAZ,baz,baz,,बाा
BBIINNDDSELF,bbiinnddself,bbiinnddself,,BBIINDDSELF
BBOOOOLLSELF,bboooollself,bboooollself,,बबूलसेल्फ़
BBUUFFFFEERR,bbuuffffeerr,bbuuffffexrr,,BBUUFFFEERR
BECAUSE,because,because,,क्योंकि
BECKS,becks,beks,,बेक्स
BECOMES,becomes,becomes,,बन जाता है
BEEN,been,been,,गया
BEGIN,begin,begin,,शुरू
BEGINNING,beginning,beginning,,शुरुआत
BEGINS,begins,begins,,शुरू होता है
BEHAVE,behawe,behawe,,व्यवहार
BEHAVES,behawes,behawes,,बर्ताव करती है
BEHAVIOR,behawior,behawior,,व्यवहार
BEHAVIOUR,behawiour,behawiour,,व्यवहार
BEING,being,being,,प्राणी
BELOW,below,below,,नीचे
BETA,beta,beta,,बीटा
BETTER,better,bettxr,,बेहतर
BETWEEN,between,between,,बीच में
BEYOND,beyond,beyond,,आगे
BFREE,bfree,bfree,,बीमुफ़्त
BIG,big,big,,बड़ा
BIN,bin,bin,,बिन
BINARY,binary,binary,,बायनरी
BINDARGS,bindargs,bindargs,,जिल्दसाज
BINOMIAL,binomial,binomial,,द्विपद
BISECT,bisect,bisect,,द्विविभाजित करना
BIT,bit,bit,,अंश
BITCOUNT,bitcount,bitcount,,बिटकाउंट
BITFIELD,bitfield,bitfield,,बिटफ़ील्ड
BITLENGTH,bitlength,bitlength,,बिटलेंथ
BITMAP,bitmap,bitmap,,बिटमैप
BITS,bits,bits,,बिट्स
BLAKE,blake,blake,,ब्लेक
BLOCK,block,blok,,अवरोध पैदा करना
BLOCKFINDER,blockfinder,blokfindxr,,ब्लॉकफाइंडर
BLOCKING,blocking,bloking,,अवरुद्ध
BLOCKS,blocks,bloks,,ब्लाकों
BOB,bob,bob,,बीओबी
BOBREDIVICOM,bobrediwicom,bobrediwicom,,बोब्रेडिविकॉम
BODY,body,body,,शरीर
BOOL,bool,bool,,बूल
BOOLEAN,boolean,boolean,,बूलियन
BOOLKEY,boolkey,boolkey,,बूलकी
BOTH,both,both,,दोनों
BOTTOM,bottom,bottom,,तल
BOUND,bound,bound,,अवश्यंभावी
BREAKPOINT,breakpoint,breakpoint,,ब्रेकपाइंट
BROWSE,browse,browse,,ब्राउज़
BROWSER,browser,browsxr,,ब्राउज़र
BSIZE,bsize,bsize,,आकार
BUFFER,buffer,buffxr,,बफर
BUFFERFALSE,bufferfalse,buffxrfalse,,बफरझूठा
BUFFERFLAGS,bufferflags,buffxrflags,,बफ़रफ़्लैग
BUFFERING,buffering,buffxring,,बफ़र हो
BUFFERNONE,buffernone,buffxrnone,,बफ़रनोन
BUFFERS,buffers,buffxrs,,बफ़र्स
BUFSIZE,bufsize,bufsize,,बफ़साइज़
BUILD,build,build,,निर्माण
BUILT,built,built,,बनाना
BUILTIN,builtin,builtin,,अंतर्निहित
BUILTINS,builtins,builtins,,भवन
BUILTINSDICT,builtinsdict,builtinsdict,,बिल्डिंगडिक्ट
BUILTINSINT,builtinsint,builtinsint,,बिल्डिंगसिंट
BUNDLED,bundled,bundled,,बंडल
BURNETTE,burnette,burnette,,बर्नेट
BYTE,byte,byte,,बाइट
BYTEARRAY,bytearray,bytearray,,बाइटएरेरे
BYTECODE,bytecode,bytecode,,बाईटकोड
BYTEORDER,byteorder,byteordxr,,बाइटऑर्डर
BYTEORDERBIG,byteorderbig,byteordxrbig,,बाइटऑर्डरबिग
BYTES,bytes,bytes,,बाइट्स
BYTESLIKE,byteslike,byteslike,,बाइट्सलाइक
CACHE,cache,cache,,कैश
CACHED,cached,cached,,कैश की गई
CACHES,caches,caches,,कैश
CALCULATE,calculate,calculate,,की गणना
CALLABLE,callable,callable,,प्रतिदेय
CALLABLES,callables,callables,,कॉलबल्स
CALLBACK,callback,callbak,,वापस बुलाओ
CALLED,called,called,,बुलाया
CALLER,caller,callxr,,कोलर
CALLERS,callers,callxrs,,कॉल
CALLING,calling,calling,,बुला
CALLS,calls,calls,,कॉल
CAME,came,came,,आया
CANDIDATE,candidate,candidate,,उम्मीदवार
CANNOT,cannot,cannot,,नही सकता
CANT,cant,cant,,नहीं कर सकता
CAP,cap,cap,,टोपी
CAPITALIZE,capitalize,capitalize,,मूल बनाना
CAPITALIZED,capitalized,capitalized,,बड़ा कर दिया है
CAPTURE,capture,capture,,कब्जा
CAPTURING,capturing,capturing,,वश में कर लेना
CAPWORDSS,capwordss,capwordss,,कैपवर्डएसएस
CARE,care,care,,देखभाल
CAREFUL,careful,careful,,सावधान
CARRIED,carried,carried,,ले जाया गया
CARRY,carry,carry,,ढोना
CARRYING,carrying,carrying,,ले जाने के
CASE,case,case,,मामला
CASEFIX,casefix,casefix,,केसफिक्स
CASES,cases,cases,,मामलों
CATEGORIES,categories,categories,,श्रेणियाँ
CATER,cater,catxr,,पूरा
CAUGHT,caught,caught,,पकड़ा गया
CAUSE,cause,cause,,कारण
CAUSED,caused,caused,,कारण
CAUSING,causing,causing,,के कारण
CAUTION,caution,caution,,सावधानी
CCAALLLLSELF,ccaallllself,ccaallllself,,CCAALLLLSELF
CCAAUUSSEE,ccaauussee,ccaauussee,,CCAAUUSSEE
CCBBRRTTX,ccbbrrttx,ccbbrrttx,,CCBBRRTTX
CCEEIILLSELF,cceeiillself,cceeiillself,,सीसीईईआईएलस्वयं
CCEEIILLX,cceeiillx,cceeiillx,,सीसीईईआईएलएक्स
CCLEAR,cclear,cclear,,CCleaner
CCLLOOSSEEFD,cclloosseefd,cclloosseefd,,CCLLOOSSEED
CCOOMMBBN,ccoommbbn,ccoommbbn,,CCOOMMBBN
CCOOPPYY,ccooppyy,ccooppyy,,CCOOPPYY
CCOOPPYYSELF,ccooppyyself,ccooppyyself,,खुद को खुश करो
CCOOSSHHX,ccoosshhx,ccoosshhx,,CCOOSSHHX
CCOOSSX,ccoossx,ccoossx,,CCOOSSX
CCUURRDDIIRR,ccuurrddiirr,ccuurrddiirr,,CCUURRDDIIRR
CEILING,ceiling,ceiling,,छत
CELEM,celem,celem,,सेलेम
CELL,cell,cell,,कक्ष
CELLS,cells,cells,,कोशिकाओं
CENTERED,centered,centxred,,केन्द्रित
CERTAIN,certain,cxrtain,,निश्चित
CHAIN,chain,chain,,जंजीर
CHAINMAP,chainmap,chainmap,,चेनमैप
CHAINMAPMAPS,chainmapmaps,chainmapmaps,,चेनमैपमैप्स
CHAINS,chains,chains,,जंजीरों
CHAMBERLAIN,chamberlain,chambxrlain,,CHAMBERLAIN
CHANCE,chance,chance,,मौका
CHANGE,change,change,,परिवर्तन
CHANGED,changed,changed,,बदल गया
CHANGES,changes,changes,,परिवर्तन
CHANNEL,channel,channel,,चैनल
CHANNELS,channels,channels,,चैनल
CHAPTER,chapter,chaptxr,,अध्याय
CHAR,char,char,,चार
CHARACTER,character,charactxr,,चरित्र
CHARACTERS,characters,charactxrs,,अक्षर
CHARSNONE,charsnone,charsnone,,चार्सनोन
CHECK,check,chek,,जाँच करना
CHECKED,checked,cheked,,जाँच
CHECKPOINT,checkpoint,chekpoint,,चेकप्वाइंट
CHILD,child,child,,बच्चा
CHILDREN,children,children,,बच्चे
CHILDRENUSER,childrenuser,childrenusxr,,बच्चों का उपयोक्ता
CHMOD,chmod,chmod,,सीएचएमओडी
CHMODPATH,chmodpath,chmodpath,,CHMODPATH
CHOICES,choices,choices,,विकल्प
CHOICESNONE,choicesnone,choicesnone,,विकल्पकोई नहीं
CHOOSE,choose,choose,,चुनना
CHUNK,chunk,chunk,,टुकड़ा
CIRCULAR,circular,circular,,परिपत्र
CLASS,class,class,,कक्षा
CLASSES,classes,classes,,कक्षाओं
CLASSMETHOD,classmethod,classmethod,,क्लास विधि
CLASSS,classs,classs,,कक्षा
CLASSWIDE,classwide,classwide,,कक्षाव्यापी
CLAUSE,clause,clause,,खंड
CLEAN,clean,clean,,साफ
CLEANUP,cleanup,cleanup,,साफ - सफाई
CLEAR,clear,clear,,स्पष्ट
CLEARED,cleared,cleared,,को मंजूरी दे दी
CLIENT,client,client,,ग्राहक
CLOSE,close,close,,बंद करना
CLOSED,closed,closed,,बंद किया हुआ
CLOSEDTRUE,closedtrue,closedtrue,,बंदसच
CLOSEONEXE,closeonexe,closeonexe,,क्लोज़नेक्स
CLOSES,closes,closes,,बंद कर देता है
CLOSEST,closest,closest,,निकटतम
CLOSING,closing,closing,,समापन
CLOSURE,closure,closure,,बंद
CLOSUREVARS,closurewars,closuriyuars,,क्लोजरवर्स
CLS,cls,cls,,सीएलएस
CLSNONE,clsnone,clsnone,,CLSNONE
CMEXCEPTION,cmexception,cmexception,,CMअपवाद
CMOSTCOMMON,cmostcommon,cmostcommon,,CMOSTCOMMON
CMWARNING,cmwarning,cmwarning,,सीएमचेतावनी
COARGCOUNT,coargcount,coargcount,,COARGCOUNT
COCELLVARS,cocellwars,cocellwars,,कोसेलवर्स
COCODE,cocode,cocode,,COCODE
COCONSTS,coconsts,coconsts,,COCONSTS
CODE,code,code,,कोड
CODECON,codecon,codecon,,कोडकॉन
CODECONTEXT,codecontext,codecontext,,कोडसंदर्भ
CODECS,codecs,codecs,,कोडेक्स
CODES,codes,codes,,कोड
COEFFICIENT,coefficient,coefficient,,गुणक
COFILENAME,cofilename,cofilename,,कोफ़ाइलनाम
COFLAGS,coflags,coflags,,कॉफ़्लाग्स
COFREEVARS,cofreewars,cofreiyuars,,सहमुक्तिवासी
COLINES,colines,colines,,कॉलिन्स
COLLECTING,collecting,collecting,,एकत्र
COLLECTION,collection,collection,,संग्रह
COLLECTIONS,collections,collections,,संग्रह
COLNO,colno,colno,,कोलनो
COLNOTAB,colnotab,colnotab,,कोलनोटैब
COLOR,color,color,,रंग
COLORTRUE,colortrue,colortrue,,रंगरूट
COLUMN,column,column,,स्तंभ
COLUMNS,columns,columns,,कॉलम
COMBINE,combine,combine,,मिलाना
COMBINED,combined,combined,,संयुक्त
COMMA,comma,comma,,अल्पविराम
COMMAND,command,command,,आज्ञा
COMMANDLINE,commandline,commandline,,कमांडलाइन
COMMENT,comment,comment,,टिप्पणी
COMMENTS,comments,comments,,टिप्पणियाँ
COMMON,common,common,,सामान्य
COMPACT,compact,compact,,कॉम्पैक्ट
COMPARE,compare,compare,,तुलना करना
COMPARED,compared,compared,,तुलना
COMPARES,compares,compares,,तुलना
COMPARING,comparing,comparing,,की तुलना
COMPATIBLE,compatible,compatible,,अनुकूल
COMPILATION,compilation,compilation,,संकलन
COMPILE,compile,compile,,संकलन
COMPILED,compiled,compiled,,संकलित
COMPILER,compiler,compilxr,,संकलक
COMPLEMENT,complement,complement,,पूरक
COMPLETE,complete,complete,,पूरा
COMPLETED,completed,completed,,पुरा होना
COMPLETION,completion,completion,,समापन
COMPLEX,complex,complex,,जटिल
COMPLIANCE,compliance,compliance,,अनुपालन
COMPLIANT,compliant,compliant,,अनुपालन
COMPONENT,component,component,,अवयव
COMPONENTS,components,components,,अवयव
COMPOSITE,composite,composite,,कम्पोजिट
COMPUTE,compute,compute,,गणना
COMPUTED,computed,computed,,गणना
CONAME,coname,coname,,CONAME
CONAMES,conames,conames,,कॉनम्स
CONCATENATE,concatenate,concatenate,,CONCATENATE
CONDITION,condition,condition,,स्थिति
CONFIG,config,config,,कॉन्फ़िग
CONFIGURE,configure,configure,,कॉन्फ़िगर
CONFIGURED,configured,configured,,कॉन्फ़िगर किया गया
CONFLICTS,conflicts,conflicts,,संघर्ष
CONJUGATE,conzugate,conzugate,,संयुग्म
CONLOCALS,conlocals,conlocals,,CONLOCALS
CONNECTED,connected,connected,,जुड़े हुए
CONNECTION,connection,connection,,कनेक्शन
CONSECUTIVE,consecutiwe,consecutiwe,,लगातार
CONSIDERED,considered,considxred,,माना
CONSIST,consist,consist,,निहित होना
CONSISTENT,consistent,consistent,,सुसंगत
CONSISTING,consisting,consisting,,सम्मिलित
CONSOLE,console,console,,सांत्वना देना
CONST,const,const,,कॉन्स्ट
CONSTANTS,constants,constants,,स्थिरांक
CONSTNONE,constnone,constnone,,कॉन्स्टनोन
CONSTRUCT,construct,construct,,CONSTRUCT
CONSTRUCTED,constructed,constructed,,निर्माण
CONSTRUCTION,construction,construction,,निर्माण
CONSTRUCTOR,constructor,constructor,,निर्माता
CONSTRUCTS,constructs,constructs,,निर्माणों
CONSULT,consult,consult,,परामर्श लें
CONSULTING,consulting,consulting,,CONSULTING
CONSUME,consume,consume,,उपभोग करना
CONSUMED,consumed,consumed,,ग्रहण किया हुआ
CONSUMES,consumes,consumes,,खपत
CONTAIN,contain,contain,,रोकना
CONTAINED,contained,contained,,निहित
CONTAINER,container,containxr,,CONTAINER
CONTAINERS,containers,containxrs,,कंटेनरों
CONTAINING,containing,containing,,युक्त
CONTAINS,contains,contains,,रोकना
CONTENTS,contents,contents,,अंतर्वस्तु
CONTEXT,context,context,,प्रसंग
CONTEXTUAL,contextual,contextual,,प्रासंिगक
CONTINGENT,contingent,contingent,,आकस्मिक
CONTINUE,continue,continue,,जारी रखना
CONTRAST,contrast,contrast,,अंतर
CONTROL,control,control,,नियंत्रण
CONTROLLER,controller,controllxr,,नियंत्रक
CONTROLS,controls,controls,,को नियंत्रित करता है
CONVENIENCE,conwenience,conwenience,,सुविधा
CONVENIENT,conwenient,conwenient,,सुविधाजनक
CONVENIENTLY,conweniently,conweniently,,आसानी से
CONVENTIONAL,conwentional,conwentional,,पारंपरिक
CONVERSION,conwersion,conwxrsion,,परिवर्तन
CONVERSIONS,conwersions,conwxrsions,,रूपांतरण
CONVERT,conwert,conwxrt,,बदलना
CONVERTED,conwerted,conwxrted,,परिवर्तित
CONVERTER,conwerter,conwxrtxr,,कन्वर्टर
CONVERTING,conwerting,conwxrting,,परिवर्तित
COORDINATES,coordinates,coordinates,,COORDINATES
COPIED,copied,copied,,की नकल की
COPOSITIONS,copositions,copositions,,रचनाएँ
COPY,copy,copy,,कॉपी
COPYRIGHT,copyright,copyright,,कॉपीराइट
COPYSELF,copyself,copyself,,स्वयं की प्रतिलिपि बनाएँ
COPYSIGN,copysign,copysign,,प्रतिहस्ताक्षर
COQUALNAME,cokualname,cokualname,,COQUALNAME
CORE,core,core,,मुख्य
