Row 2: e52=a | vinqi=है | pnzabi=হৈ | guzraji=হৈ | xg38=vxi
Row 86: e52=ahead | vinqi=आगे | pnzabi=আগে | guzraji=আগে | xg38=xage
Row 87: e52=aid | vinqi=मदद करता है | pnzabi=মদদ করতা হৈ | guzraji=মদদ করতা হৈ | xg38=mqq krja vxi
Row 88: e52=aide | vinqi=सहायता | pnzabi=সহাযতা | guzraji=সহাযতা | xg38=svayja
Row 89: e52=aids | vinqi=एड्स | pnzabi=এড্স | guzraji=এড্স | xg38=eds
Row 90: e52=aim | vinqi=प्यार | pnzabi=প্যার | guzraji=প্যার | xg38=pyar
Row 91: e52=air | vinqi=वायु | pnzabi=঵াযু | guzraji=঵াযু | xg38=wayu
Row 92: e52=aircraft | vinqi=हवाई जहाज | pnzabi=হ঵াঈ জহাজ | guzraji=হ঵াঈ জহাজ | xg38=vwai zvaz
Row 93: e52=airline | vinqi=एयरलाइन | pnzabi=এযরলাইন | guzraji=এযরলাইন | xg38=eyrlain
Row 94: e52=airport | vinqi=हवाई अड्डा | pnzabi=হ঵াঈ অড্ডা | guzraji=হ঵াঈ অড্ডা | xg38=vwai xdda
Row 95: e52=album | vinqi=एल्बम | pnzabi=এল্বম | guzraji=এল্বম | xg38=elbm
Row 96: e52=alcohol | vinqi=शराब पीना | pnzabi=শরাব পীনা | guzraji=শরাব পীনা | xg38=Srab pina
Row 97: e52=alive | vinqi=जीवित | pnzabi=জী঵িত | guzraji=জী঵িত | xg38=ziwij
Row 98: e52=all | vinqi=सब | pnzabi=সব | guzraji=সব | xg38=sb
Row 99: e52=alliance | vinqi=संधि | pnzabi=সংধি | guzraji=সংধি | xg38=snQi
Row 100: e52=allow | vinqi=अनुमति | pnzabi=অনুমতি | guzraji=অনুমতি | xg38=xnumji
Row 101: e52=ally | vinqi=मित्र | pnzabi=মিত্র | guzraji=মিত্র | xg38=mijr
Row 102: e52=almost | vinqi=लगभग | pnzabi=লগভগ | guzraji=লগভগ | xg38=lgBg
Row 103: e52=alone | vinqi=अकेला | pnzabi=অকেলা | guzraji=অকেলা | xg38=xkela
Row 104: e52=along | vinqi=साथ–साथ | pnzabi=সাথ–সাথ | guzraji=সাথ–সাথ | xg38=saJ–saJ
Row 105: e52=already | vinqi=पहले से ही | pnzabi=পহলে সে হী | guzraji=পহলে সে হী | xg38=pvle se vi
Row 106: e52=also | vinqi=भी | pnzabi=ভী | guzraji=ভী | xg38=Bi
Row 107: e52=alter | vinqi=एकांतर | pnzabi=একাংতর | guzraji=একাংতর | xg38=ekanjr
Row 108: e52=alternative | vinqi=विकल्प | pnzabi=঵িকল্প | guzraji=঵িকল্প | xg38=wiklp
Row 109: e52=although | vinqi=यद्यपि | pnzabi=যদ্যপি | guzraji=যদ্যপি | xg38=yqypi
Row 110: e52=always | vinqi=हमेशा | pnzabi=হমেশা | guzraji=হমেশা | xg38=vmeSa
Row 111: e52=am | vinqi=पूर्वाह्न | pnzabi=পূর্঵াহ্ন | guzraji=পূর্঵াহ্ন | xg38=purwavn
Row 112: e52=amazing | vinqi=बहुत बढ़िया | pnzabi=বহুত বঢ়িযা | guzraji=বহুত বঢ়িযা | xg38=bvuj bRiya
Row 113: e52=american | vinqi=अमेरिकन | pnzabi=অমেরিকন | guzraji=অমেরিকন | xg38=xmerikn
Row 114: e52=among | vinqi=के बीच | pnzabi=কে বীচ | guzraji=কে বীচ | xg38=ke bic
Row 115: e52=amount | vinqi=रकम | pnzabi=রকম | guzraji=রকম | xg38=rkm
Row 116: e52=analysis | vinqi=विश्लेषण | pnzabi=঵িশ্লেষণ | guzraji=঵িশ্লেষণ | xg38=wiSlesn
Row 117: e52=analyst | vinqi=विश्लेषक | pnzabi=঵িশ্লেষক | guzraji=঵িশ্লেষক | xg38=wiSlesk
Row 118: e52=analyze | vinqi=विश्लेषण | pnzabi=঵িশ্লেষণ | guzraji=঵িশ্লেষণ | xg38=wiSlesn
Row 119: e52=ancient | vinqi=प्राचीन | pnzabi=প্রাচীন | guzraji=প্রাচীন | xg38=pracin
Row 120: e52=and | vinqi=तथा | pnzabi=তথা | guzraji=তথা | xg38=jJa
Row 121: e52=anger | vinqi=देवदूत | pnzabi=দে঵দূত | guzraji=দে঵দূত | xg38=qewquj
Row 122: e52=angle | vinqi=कोण | pnzabi=কোণ | guzraji=কোণ | xg38=kon
Row 123: e52=angry | vinqi=नाराज़ | pnzabi=নারাজ় | guzraji=নারাজ় | xg38=naraz
Row 124: e52=animal | vinqi=जानवर | pnzabi=জান঵র | guzraji=জান঵র | xg38=zanwr
Row 125: e52=anniversary | vinqi=सालगिरह | pnzabi=সালগিরহ | guzraji=সালগিরহ | xg38=salgirv
Row 126: e52=announce | vinqi=की घोषणा | pnzabi=কী ঘোষণা | guzraji=কী ঘোষণা | xg38=ki Gosna
Row 127: e52=annual | vinqi=सालाना | pnzabi=সালানা | guzraji=সালানা | xg38=salana
Row 128: e52=another | vinqi=दूसरा | pnzabi=দূসরা | guzraji=দূসরা | xg38=qusra
Row 129: e52=answer | vinqi=जवाब | pnzabi=জ঵াব | guzraji=জ঵াব | xg38=zwab
Row 130: e52=anticipate | vinqi=पूर्वानुमान करना | pnzabi=পূর্঵ানুমান করনা | guzraji=পূর্঵ানুমান করনা | xg38=purwanuman krna
Row 131: e52=anxiety | vinqi=चिंता | pnzabi=চিংতা | guzraji=চিংতা | xg38=cinja
Row 132: e52=any | vinqi=कोई | pnzabi=কোঈ | guzraji=কোঈ | xg38=koi
Row 133: e52=anybody | vinqi=कोई | pnzabi=কোঈ | guzraji=কোঈ | xg38=koi
Row 134: e52=anymore | vinqi=इसके बाद | pnzabi=ইসকে বাদ | guzraji=ইসকে বাদ | xg38=iske baq
Row 135: e52=anyone | vinqi=किसी को | pnzabi=কিসী কো | guzraji=কিসী কো | xg38=kisi ko
Row 136: e52=anything | vinqi=कुछ भी | pnzabi=কুছ ভী | guzraji=কুছ ভী | xg38=kuC Bi
Row 137: e52=anyway | vinqi=वैसे भी | pnzabi=঵ৈসে ভী | guzraji=঵ৈসে ভী | xg38=wxise Bi
Row 138: e52=anywhere | vinqi=कहीं भी | pnzabi=কহীং ভী | guzraji=কহীং ভী | xg38=kvi Bi
Row 139: e52=apart | vinqi=अलग | pnzabi=অলগ | guzraji=অলগ | xg38=xlg
Row 140: e52=apartment | vinqi=अपार्टमेंट | pnzabi=অপার্টমেংট | guzraji=অপার্টমেংট | xg38=xpartment
Row 141: e52=apparent | vinqi=प्रकट | pnzabi=প্রকট | guzraji=প্রকট | xg38=prkt
Row 142: e52=apparently | vinqi=जाहिरा तौर पर | pnzabi=জাহিরা তৌর পর | guzraji=জাহিরা তৌর পর | xg38=zavira jour pr
Row 143: e52=appeal | vinqi=अपील करना | pnzabi=অপীল করনা | guzraji=অপীল করনা | xg38=xpil krna
Row 144: e52=appear | vinqi=के जैसा लगना | pnzabi=কে জৈসা লগনা | guzraji=কে জৈসা লগনা | xg38=ke zxisa lgna
Row 145: e52=appearance | vinqi=दिखावट | pnzabi=দিখা঵ট | guzraji=দিখা঵ট | xg38=qiKawt
Row 146: e52=apple | vinqi=सेब | pnzabi=সেব | guzraji=সেব | xg38=seb
Row 147: e52=application | vinqi=आवेदन पत्र | pnzabi=আ঵েদন পত্র | guzraji=আ঵েদন পত্র | xg38=xaweqn pjr
Row 148: e52=apply | vinqi=लागू | pnzabi=লাগূ | guzraji=লাগূ | xg38=lagu
Row 149: e52=appoint | vinqi=अतिरिक्त | pnzabi=অতিরিক্ত | guzraji=অতিরিক্ত | xg38=xjirikj
Row 150: e52=appointment | vinqi=नियुक्ति | pnzabi=নিযুক্তি | guzraji=নিযুক্তি | xg38=niyukji
Row 151: e52=appreciate | vinqi=सराहना | pnzabi=সরাহনা | guzraji=সরাহনা | xg38=sravna
Row 152: e52=approach | vinqi=दृष्टिकोण | pnzabi=দৃষ্টিকোণ | guzraji=দৃষ্টিকোণ | xg38=qrstikon
Row 153: e52=appropriate | vinqi=उचित | pnzabi=উচিত | guzraji=উচিত | xg38=ucij
Row 154: e52=approval | vinqi=अनुमोदन | pnzabi=অনুমোদন | guzraji=অনুমোদন | xg38=xnumoqn
Row 155: e52=approve | vinqi=मंजूर | pnzabi=মংজূর | guzraji=মংজূর | xg38=mnzur
Row 156: e52=approximately | vinqi=अंदाज़न | pnzabi=অংদাজ়ন | guzraji=অংদাজ়ন | xg38=xnqazn
Row 157: e52=arab | vinqi=अरबी | pnzabi=অরবী | guzraji=অরবী | xg38=xrbi
Row 158: e52=architect | vinqi=आर्किटेक्ट | pnzabi=আর্কিটেক্ট | guzraji=আর্কিটেক্ট | xg38=xarkitekt
Row 159: e52=area | vinqi=क्षेत्र | pnzabi=ক্ষেত্র | guzraji=ক্ষেত্র | xg38=Sejr
Row 160: e52=argue | vinqi=बहस करना | pnzabi=বহস করনা | guzraji=বহস করনা | xg38=bvs krna
Row 161: e52=argument | vinqi=बहस | pnzabi=বহস | guzraji=বহস | xg38=bvs
Row 162: e52=arise | vinqi=उठना | pnzabi=উঠনা | guzraji=উঠনা | xg38=uTna
Row 163: e52=arm | vinqi=हथियारों | pnzabi=হথিযারোং | guzraji=হথিযারোং | xg38=vJiyaro
Row 164: e52=armed | vinqi=हथियारबंद | pnzabi=হথিযারবংদ | guzraji=হথিযারবংদ | xg38=vJiyarbnq
Row 165: e52=army | vinqi=सेना | pnzabi=সেনা | guzraji=সেনা | xg38=sena
Row 166: e52=around | vinqi=चारों ओर | pnzabi=চারোং ওর | guzraji=চারোং ওর | xg38=caro or
Row 167: e52=arrange | vinqi=व्यवस्थित करना | pnzabi=঵্য঵স্থিত করনা | guzraji=঵্য঵স্থিত করনা | xg38=wywsJij krna
Row 168: e52=arrangement | vinqi=व्यवस्था | pnzabi=঵্য঵স্থা | guzraji=঵্য঵স্থা | xg38=wywsJa
Row 169: e52=arrest | vinqi=गिरफ़्तार करना | pnzabi=গিরফ়্তার করনা | guzraji=গিরফ়্তার করনা | xg38=girfjar krna
Row 170: e52=arrival | vinqi=आगमन | pnzabi=আগমন | guzraji=আগমন | xg38=xagmn
Row 171: e52=arrive | vinqi=पहुंच गए | pnzabi=পহুংচ গএ | guzraji=পহুংচ গএ | xg38=pvunc gye
Row 172: e52=art | vinqi=कला | pnzabi=কলা | guzraji=কলা | xg38=kla
Row 173: e52=article | vinqi=लेख | pnzabi=লেখ | guzraji=লেখ | xg38=leK
Row 174: e52=artist | vinqi=कलाकार | pnzabi=কলাকার | guzraji=কলাকার | xg38=klakar
Row 175: e52=artistic | vinqi=कलात्मक | pnzabi=কলাত্মক | guzraji=কলাত্মক | xg38=klajmk
Row 176: e52=as | vinqi=ऐस | pnzabi=ঐস | guzraji=ঐস | xg38=es
Row 177: e52=asian | vinqi=एशियाई | pnzabi=এশিযাঈ | guzraji=এশিযাঈ | xg38=eSiyai
Row 178: e52=aside | vinqi=अलग | pnzabi=অলগ | guzraji=অলগ | xg38=xlg
Row 179: e52=ask | vinqi=पूछना | pnzabi=পূছনা | guzraji=পূছনা | xg38=puCna
Row 180: e52=asleep | vinqi=सोना | pnzabi=সোনা | guzraji=সোনা | xg38=sona
Row 181: e52=aspect | vinqi=पहलू | pnzabi=পহলূ | guzraji=পহলূ | xg38=pvlu
Row 182: e52=assault | vinqi=हमला | pnzabi=হমলা | guzraji=হমলা | xg38=vmla
Row 183: e52=assert | vinqi=ज़ोर | pnzabi=জ়োর | guzraji=জ়োর | xg38=zor
Row 184: e52=assess | vinqi=आकलन | pnzabi=আকলন | guzraji=আকলন | xg38=xakln
Row 185: e52=assessment | vinqi=मूल्यांकन | pnzabi=মূল্যাংকন | guzraji=মূল্যাংকন | xg38=mulyaNkn
Row 186: e52=asset | vinqi=संपत्ति | pnzabi=সংপত্তি | guzraji=সংপত্তি | xg38=smpjji
Row 187: e52=assign | vinqi=सौंपना | pnzabi=সৌংপনা | guzraji=সৌংপনা | xg38=soumpna
Row 188: e52=assignment | vinqi=कार्यभार | pnzabi=কার্যভার | guzraji=কার্যভার | xg38=karyBar
Row 189: e52=assist | vinqi=सहायता देना | pnzabi=সহাযতা দেনা | guzraji=সহাযতা দেনা | xg38=svayja qena
Row 190: e52=assistance | vinqi=सहायता | pnzabi=সহাযতা | guzraji=সহাযতা | xg38=svayja
Row 191: e52=assistant | vinqi=सहायक | pnzabi=সহাযক | guzraji=সহাযক | xg38=svayk
Row 192: e52=associate | vinqi=संबंद्ध करना | pnzabi=সংবংদ্ধ করনা | guzraji=সংবংদ্ধ করনা | xg38=smbnqQ krna
Row 193: e52=association | vinqi=संगठन | pnzabi=সংগঠন | guzraji=সংগঠন | xg38=sNgTn
Row 194: e52=assume | vinqi=मान लेना | pnzabi=মান লেনা | guzraji=মান লেনা | xg38=man lena
Row 195: e52=assumption | vinqi=कल्पना | pnzabi=কল্পনা | guzraji=কল্পনা | xg38=klpna
Row 196: e52=assure | vinqi=सुनिश्चित | pnzabi=সুনিশ্চিত | guzraji=সুনিশ্চিত | xg38=suniScij
Row 197: e52=at | vinqi=किया | pnzabi=কিযা | guzraji=কিযা | xg38=kiya
Row 198: e52=athlete | vinqi=धावक | pnzabi=ধা঵ক | guzraji=ধা঵ক | xg38=Qawk
Row 199: e52=athletic | vinqi=पुष्ट | pnzabi=পুষ্ট | guzraji=পুষ্ট | xg38=pust
Row 200: e52=atmosphere | vinqi=वायुमंडल | pnzabi=঵াযুমংডল | guzraji=঵াযুমংডল | xg38=wayumndl
Row 201: e52=attach | vinqi=संलग्न करना | pnzabi=সংলগ্ন করনা | guzraji=সংলগ্ন করনা | xg38=snlgn krna
Row 202: e52=attack | vinqi=हमला | pnzabi=হমলা | guzraji=হমলা | xg38=vmla
Row 203: e52=attempt | vinqi=कोशिश करना | pnzabi=কোশিশ করনা | guzraji=কোশিশ করনা | xg38=koSiS krna
Row 204: e52=attend | vinqi=वेट्स | pnzabi=঵েট্স | guzraji=঵েট্স | xg38=wets
Row 205: e52=attention | vinqi=चेतावनी | pnzabi=চেতা঵নী | guzraji=চেতা঵নী | xg38=cejawni
Row 206: e52=attitude | vinqi=रवैया | pnzabi=র঵ৈযা | guzraji=র঵ৈযা | xg38=rwxiya
Row 207: e52=attorney | vinqi=प्रतिनिधि | pnzabi=প্রতিনিধি | guzraji=প্রতিনিধি | xg38=prjiniQi
Row 208: e52=attract | vinqi=आकर्षित | pnzabi=আকর্ষিত | guzraji=আকর্ষিত | xg38=xakrsij
Row 209: e52=attractive | vinqi=आकर्षक | pnzabi=আকর্ষক | guzraji=আকর্ষক | xg38=xakrsk
Row 210: e52=attribute | vinqi=विशेषता | pnzabi=঵িশেষতা | guzraji=঵িশেষতা | xg38=wiSesja
Row 211: e52=audience | vinqi=श्रोता | pnzabi=শ্রোতা | guzraji=শ্রোতা | xg38=Sroja
Row 212: e52=author | vinqi=लेखक | pnzabi=লেখক | guzraji=লেখক | xg38=leKk
Row 213: e52=authority | vinqi=प्राधिकरण | pnzabi=প্রাধিকরণ | guzraji=প্রাধিকরণ | xg38=praQikrn
Row 214: e52=auto | vinqi=गाड़ी | pnzabi=গাড়ী | guzraji=গাড়ী | xg38=gaRi
Row 215: e52=available | vinqi=उपलब्ध | pnzabi=উপলব্ধ | guzraji=উপলব্ধ | xg38=uplbQ
Row 216: e52=average | vinqi=औसत | pnzabi=ঔসত | guzraji=ঔসত | xg38=ousj
Row 217: e52=avoid | vinqi=बचना | pnzabi=বচনা | guzraji=বচনা | xg38=bcna
Row 218: e52=award | vinqi=पुरस्कार | pnzabi=পুরস্কার | guzraji=পুরস্কার | xg38=purskar
Row 219: e52=aware | vinqi=अवगत | pnzabi=অ঵গত | guzraji=অ঵গত | xg38=xwgj
Row 220: e52=awareness | vinqi=जागरूकता | pnzabi=জাগরূকতা | guzraji=জাগরূকতা | xg38=zagrukja
Row 221: e52=away | vinqi=दूर | pnzabi=দূর | guzraji=দূর | xg38=qur
Row 222: e52=awful | vinqi=बहुत बढ़िया | pnzabi=বহুত বঢ়িযা | guzraji=বহুত বঢ়িযা | xg38=bvuj bRiya
Row 223: e52=baby | vinqi=शिशु | pnzabi=শিশু | guzraji=শিশু | xg38=SiSu
Row 224: e52=back | vinqi=पीछे | pnzabi=পীছে | guzraji=পীছে | xg38=piCe
Row 225: e52=background | vinqi=पार्श्वभूमि | pnzabi=পার্শ্঵ভূমি | guzraji=পার্শ্঵ভূমি | xg38=parSwBumi
Row 226: e52=bad | vinqi=बुरा | pnzabi=বুরা | guzraji=বুরা | xg38=bura
Row 227: e52=badly | vinqi=बुरी तरह | pnzabi=বুরী তরহ | guzraji=বুরী তরহ | xg38=buri jrv
Row 228: e52=bag | vinqi=थैला | pnzabi=থৈলা | guzraji=থৈলা | xg38=Jxila
Row 229: e52=bake | vinqi=सेंकना | pnzabi=সেংকনা | guzraji=সেংকনা | xg38=seNkna
Row 230: e52=balance | vinqi=संतुलन | pnzabi=সংতুলন | guzraji=সংতুলন | xg38=snjuln
Row 231: e52=ball | vinqi=गेंद | pnzabi=গেংদ | guzraji=গেংদ | xg38=genq
Row 232: e52=ban | vinqi=प्रतिबंध | pnzabi=প্রতিবংধ | guzraji=প্রতিবংধ | xg38=prjibnQ
Row 233: e52=band | vinqi=बैंड | pnzabi=বৈংড | guzraji=বৈংড | xg38=bxind
Row 234: e52=bank | vinqi=बैंक | pnzabi=বৈংক | guzraji=বৈংক | xg38=bxiNk
Row 235: e52=bar | vinqi=छड़ | pnzabi=ছড় | guzraji=ছড় | xg38=CR
Row 236: e52=barely | vinqi=मुश्किल से | pnzabi=মুশ্কিল সে | guzraji=মুশ্কিল সে | xg38=muSkil se
