offset,hindi,bengali,gurmukhi,gujarati,oriya,tamil,telugu,kannada,malayalam
0x22,ढ,ঢ,ਢ,ઢ,ଢ,,ఢ,ಢ,ഢ
0x23,ण,ণ,ਣ,ણ,ଣ,ண,ణ,ಣ,ണ
0x24,त,ত,ਤ,ત,ତ,த,త,ತ,ത
0x25,थ,থ,ਥ,થ,ଥ,,థ,ಥ,ഥ
0x26,द,দ,ਦ,દ,ଦ,,ద,ದ,ദ
0x27,ध,ধ,ਧ,ધ,ଧ,,ధ,ಧ,ധ
0x28,न,ন,ਨ,ન,ନ,ந,న,ನ,ന
0x29,ऩ,,਩,,ନ଼,,న଼,,ന଼
0x2A,प,প,ਪ,પ,ପ,ப,ప,ಪ,പ
0x2B,फ,ফ,ਫ,ફ,ଫ,,ఫ,ಫ,ഫ
0x2C,ब,ব,ਬ,બ,ବ,,బ,ಬ,ബ
0x2D,भ,ভ,ਭ,ભ,ଭ,,భ,ಭ,ഭ
0x2E,म,ম,ਮ,મ,ମ,ம,మ,ಮ,മ
0x2F,य,য,ਯ,ય,ଯ,ய,య,ಯ,യ
0x30,र,র,ਰ,ર,ର,ர,ర,ರ,ര
0x31,ऱ,,਱,,଱,ற,ఱ,ಱ,റ
0x32,ल,ল,ਲ,લ,ଲ,ல,ల,ಲ,ല
0x33,ळ,,ਲ਼,ળ,ଳ,ள,ళ,ಳ,ള
0x34,ऴ,,,,ழ,ఴ,,ഴ
0x35,व,ৱ,ਵ,વ,ଵ,வ,వ,ವ,വ
0x36,श,শ,ਸ਼,શ,ଶ,ஶ,శ,ಶ,ശ
0x37,ष,ষ,,ષ,ଷ,ஷ,ష,ಷ,ഷ
0x38,स,স,ਸ,સ,ସ,ஸ,స,ಸ,സ
0x39,ह,হ,ਹ,હ,ହ,ஹ,హ,ಹ,ഹ
0x3A,ऺ,,,,,,,,
0x3B,ऻ,,,,,,,,
0x3C,़,,਼,,଼,,್,,്
0x3D,ऽ,ঽ,਽,ઽ,ଽ,ఽ,ಽ,ഽ
0x3E,ा,া,ਾ,ા,ା,ா,ా,ಾ,ാ
0x3F,ि,ি,ਿ,િ,ି,ி,ి,ಿ,ി
0x40,ी,ী,ੀ,ી,ୀ,ீ,ీ,ೀ,ീ
0x41,ु,ু,ੁ,ુ,ୁ,ு,ు,ು,ു
0x42,ू,ূ,ੂ,ૂ,ୂ,ூ,ూ,ೂ,ൂ
0x43,ृ,ৃ,,ૃ,ୃ,,ృ,ೃ,ൃ
0x44,ॄ,ৄ,,ૄ,ୄ,,ౄ,ೄ,ൄ
0x45,ॅ,ॅ,,ૅ,୅,,ె,ೆ,െ
0x46,ॆ,ে,ੇ,ે,େ,ே,ే,ೇ,േ
0x47,े,ৈ,ੈ,ૈ,ୈ,ை,ై,ೈ,ൈ
0x48,ै,,,ૉ,,ொ,ొ,ೊ,ൊ
0x49,ॉ,ো,ੋ,ો,ୋ,ோ,ో,ೋ,ോ
0x4A,ॊ,,,ૌ,,ௌ,ౌ,ೌ,ൌ
0x4B,ो,ৌ,ੌ,,ୌ,,ో,,ോ
0x4C,ौ,,,,,,,,
0x4D,्,্,੍,્,୍,்,్,್,്
0x4E,ॎ,,,,,,,,
0x4F,ॏ,,,,,,,,
0x50,ॐ,,,,,,,,
0x51,॑,,,,,,,,
0x52,॒,,,,,,,,
0x53,॓,,,,,,,,
0x54,॔,,,,,,,,
0x55,ॕ,,,,,,,,
0x56,ॖ,,,,,,,,
0x57,ॗ,,,,,,,,
0x58,क़,,ਕ਼,,,க்ஷ,,,
0x59,ख़,,ਖ਼,,,,,,
0x5A,ग़,,ਗ਼,,,,,,
0x5B,ज़,,ਜ਼,,,,,,
0x5C,ड़,,ਡ਼,,,,,,
0x5D,ढ़,,ਢ਼,,,,,,
0x5E,फ़,,ਫ਼,,,,,,
0x5F,य़,,ਯ਼,,,,,,
0x60,ॠ,,,ૠ,ୠ,,ౠ,ೠ,ൠ
0x61,ॡ,,,ૡ,ୡ,,ౡ,ೡ,ൡ
0x62,ॢ,,,,,,,,
0x63,ॣ,,,,,,,,
0x64,।,,,,,,,,
0x65,॥,,,,,,,,
0x66,०,০,੦,૦,୦,௦,౦,೦,൦
0x67,१,১,੧,૧,୧,௧,౧,೧,൧
0x68,२,২,੨,૨,୨,௨,౨,೨,൨
0x69,३,৩,੩,૩,୩,௩,౩,೩,൩
0x6A,४,৪,੪,૪,୪,௪,౪,೪,൪
0x6B,५,৫,੫,૫,୫,௫,౫,೫,൫
0x6C,६,৬,੬,૬,୬,௬,౬,೬,൬
0x6D,७,৭,੭,૭,୭,௭,౭,೭,൭
0x6E,८,৮,੮,૮,୮,௮,౮,೮,൮
0x6F,९,৯,੯,૯,୯,௯,౯,೯,൯
0x70,॰,,੦,,୲,,౸,,൰
0x71,ॱ,,,,,,,,
0x72,ॲ,,,,,,,,
0x73,ॳ,,,,,,,,
0x74,ॴ,,,,,,,,
0x75,ॵ,,,,,,,,
0x76,ॶ,,,,,,,,
0x77,ॷ,,,,,,,,
0x78,ॸ,,,,,,,,
0x79,ॹ,,,,,,,,
0x7A,ॺ,,,,,,,,
0x7B,ॻ,,,,,,,,
0x7C,ॼ,,,,,,,,
0x7D,ॽ,,,,,,,,
0x7E,ॾ,,,,,,,,
0x7F,ॿ,,,,,,,,
